# Time   VoD
0.075  6.789
0.125  8.643
0.175  8.481
0.225  7.932
0.275  8.267
0.325  8.291
0.375  8.132
0.425  8.103
0.475  8.065
0.525  8.031
0.575  8.023
0.625  8.017
0.675  8.010
0.725  8.008
0.775  8.015
0.825  9.175
0.875  8.463
0.925  8.197
0.975  8.072
1.025  8.036
1.075  8.023
1.125  8.012
1.175  8.009
1.225  8.256
1.275  9.096
1.325  8.395
1.375  8.150
1.425  8.049
1.475  8.028
1.525  8.014
1.575  8.011
1.625  8.277
1.675  9.136
1.725  8.381
1.775  8.108
1.825  8.043
1.875  8.028
1.925  8.015
1.975  8.011
2.025  8.507
2.075  9.036
2.125  8.269
2.175  8.094
2.225  8.043
2.275  8.026
2.325  8.015
2.375  8.012
2.425  8.708
2.475  8.882
2.525  8.239
2.575  8.080
2.625  8.042
2.675  8.024
2.725  8.014
2.775  8.011
2.825  8.667
2.875  8.892
2.925  8.260
2.975  8.095
3.025  8.041
3.075  8.021
3.125  8.014
3.175  8.014
3.225  9.070
3.275  8.616
3.325  8.175
3.375  8.059
3.425  8.038
3.475  8.018
3.525  8.013
3.575  8.014
3.625  9.157
3.675  8.552
3.725  8.160
3.775  8.057
3.825  8.032
3.875  8.018
3.925  8.011
3.975  8.011
4.025  9.033
4.075  8.610
4.125  8.203
4.175  8.077
4.225  8.034
4.275  8.019
4.325  8.012
4.375  8.009
4.425  8.705
4.475  9.089
4.525  8.111
4.575  8.073
4.625  8.018
4.675  7.981
4.725  8.011
4.775  8.018
4.825  9.418
4.875  8.361
4.925  8.109
4.975  8.047
5.025  8.027
5.075  8.015
5.125  8.014
5.175  8.947
5.225  8.720
5.275  8.194
5.325  8.062
5.375  8.038
5.425  8.018
5.475  8.013
5.525  8.017
5.575  9.326
5.625  8.424
5.675  8.130
5.725  8.050
5.775  8.031
5.825  8.018
5.875  8.005
5.925  9.458
5.975  8.199
6.025  8.154
6.075  8.135
6.125  8.038
6.175  8.020
6.225  8.103
6.275  7.891
6.325  8.014
6.375  9.297
6.425  8.468
6.475  8.123
6.525  8.049
6.575  8.029
6.625  8.015
6.675  8.014
6.725  8.954
6.775  8.720
6.825  8.190
6.875  8.061
6.925  8.037
6.975  8.018
7.025  8.013
7.075  8.063
7.125  9.386
7.175  8.344
7.225  8.110
7.275  8.047
7.325  8.029
7.375  8.015
7.425  8.013
7.475  8.732
7.525  8.539
7.575  8.239
7.625  8.414
7.675  8.048
7.725  8.021
7.775  8.013
7.825  8.463
7.875  7.540
7.925  9.541
7.975  8.285
8.025  8.082
8.075  8.043
8.125  8.020
8.175  8.013
8.225  8.018
8.275  9.392
8.325  8.377
8.375  8.115
8.425  8.048
8.475  8.029
8.525  8.015
8.575  8.013
8.625  8.787
8.675  8.840
8.725  8.222
8.775  8.069
8.825  8.041
8.875  8.019
8.925  8.013
8.975  8.016
9.025  9.304
9.075  8.443
9.125  8.134
9.175  8.037
9.225  8.023
9.275  8.025
9.325  8.034
9.375  9.349
9.425  8.342
9.475  8.050
9.525  8.139
9.575  8.052
9.625  8.030
9.675  8.016
9.725  8.013
9.775  8.781
9.825  8.848
9.875  8.222
9.925  8.069
9.975  8.041
10.025  8.019
10.075  8.013
10.125  8.017
10.175  9.320
10.225  8.431
10.275  8.128
10.325  8.050
10.375  8.031
10.425  8.016
10.475  8.012
10.525  8.519
10.575  9.043
10.625  8.264
10.675  8.085
10.725  8.044
10.775  8.025
10.825  8.013
10.875  8.009
10.925  8.008
10.975  8.622
11.025  8.746
11.075  8.542
11.125  8.040
11.175  8.021
11.225  8.013
11.275  8.016
11.325  9.296
11.375  8.452
11.425  8.131
11.475  8.051
11.525  8.031
11.575  8.016
11.625  8.012
11.675  8.536
11.725  9.031
11.775  8.261
11.825  8.084
11.875  8.044
11.925  8.022
11.975  8.014
12.025  8.015
12.075  9.090
12.125  8.608
12.175  8.167
12.225  8.058
12.275  8.036
12.325  8.018
12.375  8.013
12.425  8.012
12.475  8.952
12.525  8.585
12.575  8.246
12.625  8.176
12.675  8.406
12.725  7.609
12.775  8.011
12.825  8.018
12.875  9.432
12.925  8.346
12.975  8.108
13.025  8.046
13.075  8.028
13.125  8.015
13.175  8.013
13.225  8.830
13.275  8.804
13.325  8.215
13.375  8.068
13.425  8.041
13.475  8.019
13.525  8.013
13.575  8.016
13.625  9.250
13.675  8.482
13.725  8.141
13.775  8.053
13.825  8.033
13.875  8.017
13.925  8.012
13.975  8.016
14.025  9.243
14.075  8.470
14.125  8.141
14.175  8.066
14.225  8.074
14.275  9.131
14.325  6.859
14.375  8.132
14.425  9.349
14.475  8.324
14.525  8.101
14.575  8.046
14.625  8.026
14.675  8.015
14.725  8.013
14.775  8.896
14.825  8.754
14.875  8.203
14.925  8.065
14.975  8.040
15.025  8.019
15.075  8.013
15.125  8.016
15.175  9.239
15.225  8.489
15.275  8.142
15.325  8.054
15.375  8.034
15.425  8.017
15.475  8.012
15.525  8.123
15.575  9.291
15.625  8.360
15.675  8.121
15.725  8.051
15.775  8.037
15.825  9.407
15.875  8.330
15.925  6.289
15.975  9.229
16.025  8.515
16.075  8.138
16.125  8.052
16.175  8.031
16.225  8.016
16.275  8.012
16.325  8.524
16.375  9.038
16.425  8.263
16.475  8.086
16.525  8.044
16.575  8.023
16.625  8.014
16.675  8.014
16.725  8.973
16.775  8.693
16.825  8.191
16.875  8.062
16.925  8.039
16.975  8.019
17.025  8.013
17.075  8.016
17.125  9.224
17.175  8.499
17.225  8.146
17.275  8.056
17.325  8.032
17.375  8.018
17.425  9.444
17.475  8.299
17.525  6.286
17.575  9.554
17.625  8.272
17.675  8.079
17.725  8.043
17.775  8.019
17.825  8.013
17.875  8.016
17.925  9.289
17.975  8.452
18.025  8.134
18.075  8.052
18.125  8.032
18.175  8.016
18.225  8.012
18.275  8.251
18.325  9.229
18.375  8.315
18.425  8.106
18.475  8.046
18.525  8.029
18.575  8.015
18.625  8.012
18.675  8.606
18.725  8.965
18.775  8.253
18.825  8.086
18.875  8.042
18.925  8.026
18.975  8.033
19.025  9.590
19.075  8.240
19.125  7.134
19.175  8.757
19.225  8.152
19.275  8.054
19.325  8.032
19.375  8.016
19.425  8.013
19.475  8.564
19.525  9.007
19.575  8.257
19.625  8.083
19.675  8.044
19.725  8.022
19.775  8.014
19.825  8.014
19.875  8.991
19.925  8.677
19.975  8.188
20.025  8.062
20.075  8.039
20.125  8.018
20.175  8.013
20.225  8.015
20.275  9.188
20.325  8.524
20.375  8.153
20.425  8.057
20.475  8.036
20.525  8.018
20.575  9.298
20.625  8.459
20.675  8.159
20.725  8.074
20.775  7.830
20.825  8.096
20.875  8.047
20.925  8.027
20.975  8.015
21.025  8.014
21.075  8.948
21.125  8.717
21.175  8.194
21.225  8.062
21.275  8.038
21.325  8.018
21.375  8.013
21.425  8.016
21.475  9.269
21.525  8.466
21.575  8.138
21.625  8.053
21.675  8.033
21.725  8.017
21.775  8.012
21.825  8.086
21.875  9.341
21.925  8.354
21.975  8.116
22.025  8.048
22.075  8.032
22.125  8.016
22.175  8.011
22.225  8.138
22.275  9.755
22.325  8.080
22.375  7.902
22.425  8.052
22.475  8.038
22.525  8.018
22.575  8.013
22.625  8.017
22.675  9.365
22.725  8.391
22.775  8.121
22.825  8.049
22.875  8.031
22.925  8.016
22.975  8.012
23.025  8.345
23.075  9.158
23.125  8.296
23.175  8.102
23.225  8.045
23.275  8.028
23.325  8.015
23.375  8.012
23.425  8.572
23.475  8.988
23.525  8.259
23.575  8.088
23.625  8.044
23.675  8.026
23.725  8.015
23.775  8.011
23.825  8.267
23.875  9.077
23.925  8.400
23.975  8.162
24.025  8.043
24.075  8.025
24.125  8.015
24.175  8.013
24.225  8.759
24.275  8.843
24.325  8.233
24.375  8.076
24.425  8.042
24.475  8.022
24.525  8.014
24.575  8.013
24.625  8.929
24.675  8.718
24.725  8.201
24.775  8.066
24.825  8.040
24.875  8.019
24.925  8.014
24.975  8.014
25.025  9.042
25.075  8.633
25.125  8.181
25.175  8.060
25.225  8.039
25.275  8.019
25.325  8.013
25.375  8.012
25.425  8.837
25.475  8.298
25.525  8.797
25.575  7.980
25.625  8.039
25.675  8.022
25.725  8.014
25.775  8.014
25.825  9.021
25.875  8.654
25.925  8.183
25.975  8.060
26.025  8.038
26.075  8.018
26.125  8.013
26.175  8.015
26.225  9.168
26.275  8.537
26.325  8.158
26.375  8.056
26.425  8.036
26.475  8.018
26.525  8.013
26.575  8.016
26.625  9.246
26.675  8.477
26.725  8.144
26.775  8.054
26.825  8.035
26.875  8.018
26.925  8.013
26.975  8.013
27.025  8.984
27.075  8.682
27.125  8.265
27.175  8.060
27.225  7.959
27.275  8.019
27.325  8.015
27.375  8.014
27.425  9.073
27.475  8.620
27.525  8.171
27.575  8.058
27.625  8.037
27.675  8.018
27.725  8.013
27.775  8.016
27.825  9.272
27.875  8.459
27.925  8.138
27.975  8.053
28.025  8.034
28.075  8.017
28.125  8.012
28.175  8.017
28.225  9.358
28.275  8.391
28.325  8.124
28.375  8.050
28.425  8.032
28.475  8.016
28.525  8.013
28.575  8.014
28.625  9.169
28.675  8.530
28.725  8.229
28.775  8.258
28.825  7.768
28.875  8.015
28.925  8.013
28.975  8.016
29.025  9.242
29.075  8.487
29.125  8.142
29.175  8.053
29.225  8.034
29.275  8.017
29.325  8.012
29.375  8.017
29.425  9.381
29.475  8.374
29.525  8.120
29.575  8.049
29.625  8.031
29.675  8.016
29.725  8.012
29.775  8.175
29.825  9.271
29.875  8.338
29.925  8.112
29.975  8.047
30.025  8.030
30.075  8.016
30.125  8.012
30.175  8.015
30.225  9.284
30.275  8.451
30.325  8.183
30.375  8.227
30.425  7.808
30.475  8.015
30.525  8.013
30.575  8.017
30.625  9.334
30.675  8.413
30.725  8.127
30.775  8.051
30.825  8.032
30.875  8.016
30.925  8.012
30.975  8.191
31.025  9.263
31.075  8.333
31.125  8.110
31.175  8.047
31.225  8.030
31.275  8.016
31.325  8.012
31.375  8.361
31.425  9.142
31.475  8.294
31.525  8.103
31.575  8.045
31.625  8.029
31.675  8.015
31.725  8.012
31.775  8.239
31.825  9.145
31.875  8.387
31.925  8.067
31.975  8.139
32.025  7.998
32.075  8.011
32.125  8.013
32.175  8.309
32.225  9.177
32.275  8.308
32.325  8.106
32.375  8.046
32.425  8.029
32.475  8.015
32.525  8.012
32.575  8.423
32.625  9.096
32.675  8.283
32.725  8.099
32.775  8.044
32.825  8.028
32.875  8.015
32.925  8.012
32.975  8.496
33.025  9.045
33.075  8.269
33.125  8.094
33.175  8.044
33.225  8.027
33.275  8.015
33.325  8.012
33.375  8.379
33.425  9.060
33.475  8.343
33.525  8.083
33.575  8.132
33.625  9.159
33.675  6.828
33.725  8.011
33.775  8.017
33.825  9.327
33.875  8.424
33.925  8.126
33.975  8.050
34.025  8.031
34.075  8.016
34.125  8.012
34.175  8.321
34.225  9.172
34.275  8.303
34.325  8.104
34.375  8.045
34.425  8.029
34.475  8.015
34.525  8.012
34.575  8.475
34.625  9.060
34.675  8.272
34.725  8.095
34.775  8.044
34.825  8.028
34.875  8.015
34.925  8.012
34.975  8.368
35.025  9.496
35.075  8.087
35.125  8.330
35.175  8.618
35.225  8.521
35.275  6.558
35.325  8.012
35.375  8.013
35.425  8.807
35.475  8.831
35.525  8.217
35.575  8.066
35.625  8.040
35.675  8.019
35.725  8.013
35.775  8.016
35.825  9.273
35.875  8.462
35.925  8.137
35.975  8.052
36.025  8.033
36.075  8.017
36.125  8.012
36.175  8.032
36.225  9.376
36.275  8.367
36.325  8.119
36.375  8.049
36.425  8.031
36.475  8.016
36.525  8.012
36.575  8.130
36.625  9.209
36.675  8.419
36.725  8.130
36.775  8.055
36.825  8.029
36.875  8.015
36.925  8.013
36.975  8.192
37.025  9.262
37.075  8.333
37.125  8.110
37.175  8.047
37.225  8.030
37.275  8.016
37.325  8.012
37.375  8.317
37.425  9.169
37.475  8.307
37.525  8.106
37.575  8.046
37.625  8.029
37.675  8.015
37.725  8.012
37.775  8.395
37.825  9.115
37.875  8.288
37.925  8.101
37.975  8.045
38.025  8.029
38.075  8.015
38.125  8.012
38.175  8.377
38.225  9.043
38.275  8.353
38.325  8.118
38.375  8.053
38.425  8.027
38.475  8.015
38.525  8.013
38.575  8.346
38.625  9.157
38.675  8.296
38.725  8.102
38.775  8.045
38.825  8.029
38.875  8.015
38.925  8.012
38.975  8.472
39.025  9.059
39.075  8.274
39.125  8.096
39.175  8.044
39.225  8.028
39.275  8.015
39.325  8.012
39.375  8.508
39.425  9.034
39.475  8.268
39.525  8.093
39.575  8.044
39.625  8.027
39.675  8.015
39.725  8.012
39.775  8.455
39.825  9.093
39.875  8.390
39.925  8.058
39.975  8.513
40.025  8.717
40.075  6.754
40.125  8.012
40.175  8.014
40.225  8.994
40.275  8.685
40.325  8.184
40.375  8.060
40.425  8.037
40.475  8.018
40.525  8.013
40.575  8.017
40.625  9.317
40.675  8.425
40.725  8.131
40.775  8.051
40.825  8.032
40.875  8.016
40.925  8.012
40.975  8.096
41.025  9.328
41.075  8.353
41.125  8.117
41.175  8.048
41.225  8.031
41.275  8.016
41.325  8.012
41.375  8.161
41.425  9.181
41.475  8.421
41.525  8.127
41.575  8.058
41.625  8.287
41.675  9.144
41.725  6.616
41.775  8.013
41.825  9.084
41.875  8.617
41.925  8.166
41.975  8.057
42.025  8.036
42.075  8.017
42.125  8.012
42.175  8.017
42.225  9.346
42.275  8.401
42.325  8.127
42.375  8.051
42.425  8.032
42.475  8.016
42.525  8.012
42.575  8.119
42.625  9.310
42.675  8.350
42.725  8.116
42.775  8.048
42.825  8.031
42.875  8.016
42.925  8.012
42.975  8.209
43.025  9.184
43.075  8.371
43.125  8.123
43.175  8.056
43.225  8.028
43.275  8.031
43.325  7.995
43.375  8.015
43.425  9.269
43.475  8.472
43.525  8.134
43.575  8.052
43.625  8.032
43.675  8.016
43.725  8.012
43.775  8.116
43.825  9.314
43.875  8.349
43.925  8.115
43.975  8.048
44.025  8.031
44.075  8.016
44.125  8.012
44.175  8.232
44.225  9.225
44.275  8.328
44.325  8.111
44.375  8.047
44.425  8.030
44.475  8.016
44.525  8.012
44.575  8.278
44.625  9.162
44.675  8.334
44.725  8.121
44.775  8.049
44.825  8.027
44.875  9.111
44.925  6.915
44.975  8.015
45.025  9.275
45.075  8.464
45.125  8.135
45.175  8.052
45.225  8.033
45.275  8.016
45.325  8.012
45.375  8.106
45.425  9.320
45.475  8.352
45.525  8.116
45.575  8.048
45.625  8.031
45.675  8.016
45.725  8.012
45.775  8.215
45.825  9.236
45.875  8.332
45.925  8.112
45.975  8.047
46.025  8.030
46.075  8.016
46.125  8.012
46.175  8.266
46.225  9.175
46.275  8.332
46.325  8.124
46.375  8.047
46.425  8.029
46.475  8.628
46.525  8.288
46.575  7.117
46.625  9.194
46.675  8.524
46.725  8.155
46.775  8.055
46.825  8.034
46.875  8.017
46.925  8.012
46.975  8.017
47.025  9.384
47.075  8.371
47.125  8.120
47.175  8.049
47.225  8.031
47.275  8.016
47.325  8.012
47.375  8.151
47.425  9.284
47.475  8.344
47.525  8.115
47.575  8.048
47.625  8.031
47.675  8.016
47.725  8.012
47.775  8.167
47.825  9.270
47.875  8.332
47.925  8.160
47.975  8.064
48.025  8.905
48.075  8.643
48.125  8.184
48.175  6.275
48.225  8.301
48.275  9.230
48.325  8.289
48.375  8.091
48.425  8.045
48.475  8.023
48.525  8.014
48.575  8.014
48.625  9.004
48.675  8.669
48.725  8.185
48.775  8.061
48.825  8.038
48.875  8.018
48.925  8.013
48.975  8.015
49.025  9.194
49.075  8.518
49.125  8.152
49.175  8.055
49.225  8.036
49.275  8.017
49.325  8.012
49.375  8.016
49.425  9.274
49.475  8.449
49.525  8.142
49.575  8.057
49.625  8.036
49.675  8.395
49.725  9.227
49.775  6.410
49.825  8.688
49.875  8.915
49.925  8.240
49.975  8.074
50.025  8.042
50.075  8.020
50.125  8.014
50.175  8.015
50.225  9.109
50.275  8.586
50.325  8.167
50.375  8.058
50.425  8.037
50.475  8.018
50.525  8.013
50.575  8.015
50.625  9.212
50.675  8.503
50.725  8.150
50.775  8.055
50.825  8.036
50.875  8.017
50.925  8.012
50.975  8.016
51.025  9.239
51.075  8.477
51.125  8.145
51.175  8.060
51.225  8.033
51.275  8.022
51.325  8.969
51.375  7.048
51.425  8.925
